(scienceqa, train:1, science, geography)
(scienceqa, train:407, science, physics)
(scienceqa, train:408, culture and education, language and literature)
(scienceqa, train:409, science, chemistry)
(scienceqa, train:410, science, geography)
(scienceqa, train:411, science, chemistry)
(scienceqa, train:412, science, biology)
(scienceqa, train:413, science, physics)
(scienceqa, train:414, science, geography)
(scienceqa, train:417, science, chemistry)
(scienceqa, train:419, science, biology)
(scienceqa, train:423, science, geography)
(scienceqa, train:424, culture and education, language and literature)
(scienceqa, train:425, science, biology)
(scienceqa, train:428, culture and education, language and literature)
(scienceqa, train:429, science, physics)
(scienceqa, train:430, science, biology)
(scienceqa, train:432, science, geography)
(scienceqa, train:434, science, biology)
(scienceqa, train:435, science, geography)
(scienceqa, train:436, science, physics)
(scienceqa, train:437, science, biology)
(scienceqa, train:438, society, history)
(scienceqa, train:439, science, geography)
(scienceqa, train:441, economics, business and finance)
(scienceqa, train:442, science, geography)
(scienceqa, train:443, culture and education, language and literature)
(scienceqa, train:444, science, physics)
(scienceqa, train:446, culture and education, language and literature)
(scienceqa, train:447, science, geography)
(scienceqa, train:448, science, geography)
(scienceqa, train:450, science, physics)
(scienceqa, train:451, culture and education, language and literature)
(scienceqa, train:452, science, geography)
(scienceqa, train:454, science, geography)
(scienceqa, train:458, science, geography)
(scienceqa, train:459, science, physics)
(scienceqa, train:461, culture and education, language and literature)
(scienceqa, train:462, culture and education, language and literature)
(scienceqa, train:463, science, physics)
(scienceqa, train:464, culture and education, language and literature)
(scienceqa, train:465, culture and education, language and literature)
(scienceqa, train:468, economics, business and finance)
(scienceqa, train:471, culture and education, language and literature)
(scienceqa, train:473, science, biology)
(scienceqa, train:474, science, biology)
(scienceqa, train:476, science, geography)
(scienceqa, train:477, science, geography)
(scienceqa, train:478, science, biology)
(scienceqa, train:479, culture and education, language and literature)
(scienceqa, train:480, science, physics)
(scienceqa, train:482, science, physics)
(scienceqa, train:484, science, chemistry)
(scienceqa, train:485, science, biology)
(scienceqa, train:487, science, chemistry)
(scienceqa, train:488, science, geography)
(scienceqa, train:489, science, geography)
(scienceqa, train:490, science, geography)
(scienceqa, train:491, culture and education, language and literature)
(scienceqa, train:492, science, physics)
(scienceqa, train:493, science, biology)
(scienceqa, train:494, science, mathematics)
(scienceqa, train:495, science, geography)
(scienceqa, train:496, society, history)
(scienceqa, train:498, science, physics)
(scienceqa, train:499, science, mathematics)
(scienceqa, train:500, science, biology)
(scienceqa, train:501, science, chemistry)
(scienceqa, train:503, science, physics)
(scienceqa, train:504, science, physics)
(scienceqa, train:506, science, physics)
(scienceqa, train:507, science, physics)
(scienceqa, train:508, science, biology)
(scienceqa, train:510, science, biology)
(scienceqa, train:511, science, biology)
(scienceqa, train:516, culture and education, language and literature)
(scienceqa, train:518, culture and education, language and literature)
(scienceqa, train:520, science, biology)
(scienceqa, train:521, culture and education, language and literature)
(scienceqa, train:523, culture and education, language and literature)
(scienceqa, train:524, economics, business and finance)
(scienceqa, train:525, science, biology)
(scienceqa, train:526, culture and education, language and literature)
(scienceqa, train:527, science, physics)
(scienceqa, train:528, culture and education, language and literature)
(scienceqa, train:530, science, biology)
(scienceqa, train:531, science, biology)
(scienceqa, train:535, science, geography)
(scienceqa, train:537, science, chemistry)
(scienceqa, train:538, culture and education, language and literature)
(scienceqa, train:540, science, physics)
(scienceqa, train:542, science, biology)
(scienceqa, train:545, culture and education, language and literature)
(scienceqa, train:546, science, chemistry)
(scienceqa, train:548, science, chemistry)
(scienceqa, train:549, science, biology)
(scienceqa, train:551, science, chemistry)
(scienceqa, train:553, science, chemistry)
(scienceqa, train:555, science, biology)
(scienceqa, train:556, science, geography)
(scienceqa, train:558, science, biology)
(scienceqa, train:559, culture and education, language and literature)
(scienceqa, train:561, science, physics)
(scienceqa, train:562, science, chemistry)
(scienceqa, train:563, science, geography)
(scienceqa, train:564, science, biology)
(scienceqa, train:565, science, biology)
(scienceqa, train:566, science, biology)
(scienceqa, train:567, science, chemistry)
(scienceqa, train:568, science, physics)
(scienceqa, train:569, science, biology)
(scienceqa, train:572, science, geography)
(scienceqa, train:574, culture and education, language and literature)
(scienceqa, train:575, science, geography)
(scienceqa, train:578, science, biology)
(scienceqa, train:579, science, biology)
(scienceqa, train:581, society, history)
(scienceqa, train:583, science, chemistry)
(scienceqa, train:585, culture and education, language and literature)
(scienceqa, train:587, culture and education, language and literature)
(scienceqa, train:588, science, physics)
(scienceqa, train:589, science, physics)
(scienceqa, train:594, culture and education, language and literature)
(scienceqa, train:596, science, physics)
(scienceqa, train:599, science, chemistry)
(scienceqa, train:601, science, biology)
(scienceqa, train:602, science, geography)
(scienceqa, train:604, science, geography)
(scienceqa, train:607, science, chemistry)
(scienceqa, train:609, science, biology)
(scienceqa, train:611, science, chemistry)
(scienceqa, train:613, culture and education, language and literature)
(scienceqa, train:615, culture and education, language and literature)
(scienceqa, train:619, science, chemistry)
(scienceqa, train:620, culture and education, language and literature)
(scienceqa, train:624, culture and education, language and literature)
(scienceqa, train:625, science, physics)
(scienceqa, train:628, science, biology)
(scienceqa, train:629, science, chemistry)
(scienceqa, train:630, science, chemistry)
(scienceqa, train:631, science, biology)
(scienceqa, train:633, science, biology)
(scienceqa, train:634, science, chemistry)
(scienceqa, train:635, economics, business and finance)
(scienceqa, train:636, science, biology)
(scienceqa, train:637, science, physics)
(scienceqa, train:638, culture and education, language and literature)
(scienceqa, train:639, science, geography)
(scienceqa, train:642, science, biology)
(scienceqa, train:643, science, geography)
(scienceqa, train:644, science, biology)
(scienceqa, train:646, science, chemistry)
(scienceqa, train:648, science, biology)
(scienceqa, train:649, science, geography)
(scienceqa, train:650, science, biology)
(scienceqa, train:651, science, biology)
(scienceqa, train:652, science, geography)
(scienceqa, train:653, science, geography)
(scienceqa, train:654, science, geography)
(scienceqa, train:655, science, chemistry)
(scienceqa, train:657, culture and education, language and literature)
(scienceqa, train:658, science, physics)
(scienceqa, train:659, science, biology)
(scienceqa, train:660, science, physics)
(scienceqa, train:663, culture and education, language and literature)
(scienceqa, train:665, science, biology)
(scienceqa, train:668, science, biology)
(scienceqa, train:669, society, history)
(scienceqa, train:672, science, engineering)
(scienceqa, train:673, society, geography)
(scienceqa, train:675, science, biology)
(scienceqa, train:676, science, physics)
(scienceqa, train:677, science, biology)
(scienceqa, train:678, science, geography)
(scienceqa, train:679, science, physics)
(scienceqa, train:680, science, biology)
(scienceqa, train:681, science, biology)
(scienceqa, train:683, science, biology)
(scienceqa, train:684, science, biology)
(scienceqa, train:685, science, chemistry)
(scienceqa, train:688, science, physics)
(scienceqa, train:692, science, physics)
(scienceqa, train:695, science, geography)
(scienceqa, train:696, society, geography)
(scienceqa, train:697, science, chemistry)
(scienceqa, train:699, science, mathematics)
(scienceqa, train:701, science, physics)
(scienceqa, train:702, science, physics)
(scienceqa, train:703, science, physics)
(scienceqa, train:705, science, geography)
(scienceqa, train:706, science, biology)
(scienceqa, train:707, society, history)
(scienceqa, train:708, science, physics)
(scienceqa, train:709, science, biology)
(scienceqa, train:710, science, biology)
(scienceqa, train:712, culture and education, language and literature)
(scienceqa, train:713, science, physics)
(scienceqa, train:714, society, history)
(scienceqa, train:715, science, physics)
(scienceqa, train:717, science, physics)
(scienceqa, train:718, science, chemistry)
(scienceqa, train:719, science, geography)
(scienceqa, train:720, science, chemistry)
(scienceqa, train:723, science, chemistry)
(scienceqa, train:726, society, history)
(scienceqa, train:728, culture and education, language and literature)
(scienceqa, train:729, science, biology)
(scienceqa, train:731, science, chemistry)
(scienceqa, train:732, culture and education, language and literature)
(scienceqa, train:733, science, physics)
(scienceqa, train:735, society, geography)
(scienceqa, train:736, culture and education, language and literature)
(scienceqa, train:742, science, mathematics)
(scienceqa, train:743, science, biology)
(scienceqa, train:746, culture and education, language and literature)
(scienceqa, train:747, science, biology)
(scienceqa, train:748, economics, business and finance)
(scienceqa, train:749, science, geography)
(scienceqa, train:753, science, chemistry)
(scienceqa, train:755, science, geography)
(scienceqa, train:756, science, biology)
(scienceqa, train:762, economics, business and finance)
(scienceqa, train:766, science, biology)
(scienceqa, train:768, science, biology)
(scienceqa, train:770, science, physics)
(scienceqa, train:772, culture and education, language and literature)
(scienceqa, train:773, science, chemistry)
(scienceqa, train:774, science, geography)
(scienceqa, train:775, science, physics)
(scienceqa, train:777, science, biology)
(scienceqa, train:778, science, physics)
(scienceqa, train:783, science, geography)
(scienceqa, train:784, science, chemistry)
(scienceqa, train:787, science, geography)
(scienceqa, train:789, culture and education, language and literature)
(scienceqa, train:791, science, geography)
(scienceqa, train:792, science, biology)
(scienceqa, train:793, science, biology)
(scienceqa, train:794, culture and education, language and literature)
(scienceqa, train:796, science, biology)
(scienceqa, train:797, science, chemistry)
(scienceqa, train:798, science, biology)
(scienceqa, train:799, science, biology)
(scienceqa, train:800, science, biology)
(scienceqa, train:801, science, biology)
(scienceqa, train:802, science, geography)
(scienceqa, train:804, science, biology)
(scienceqa, train:805, science, geography)
(scienceqa, train:806, science, geography)
(scienceqa, train:807, society, history)
(scienceqa, train:808, culture and education, language and literature)
(scienceqa, train:810, science, biology)
(scienceqa, train:811, science, chemistry)
(scienceqa, train:812, science, geography)
(scienceqa, train:817, science, geography)
(scienceqa, train:819, culture and education, language and literature)
(scienceqa, train:820, science, chemistry)
(scienceqa, train:822, culture and education, language and literature)
(scienceqa, train:823, culture and education, language and literature)
(scienceqa, train:826, culture and education, language and literature)
(scienceqa, train:830, science, geography)
(scienceqa, train:831, economics, business and finance)
(scienceqa, train:832, society, history)
(scienceqa, train:833, science, biology)
(scienceqa, train:835, culture and education, language and literature)
(scienceqa, train:836, culture and education, language and literature)
(scienceqa, train:842, science, physics)
(scienceqa, train:844, science, physics)
(scienceqa, train:848, science, biology)
(scienceqa, train:850, culture and education, language and literature)
(scienceqa, train:852, society, history)
(scienceqa, train:853, science, biology)
(scienceqa, train:854, science, geography)
(scienceqa, train:857, science, geography)
(scienceqa, train:858, culture and education, language and literature)
(scienceqa, train:860, science, biology)
(scienceqa, train:861, culture and education, language and literature)
(scienceqa, train:862, culture and education, language and literature)
(scienceqa, train:866, culture and education, language and literature)
(scienceqa, train:869, culture and education, language and literature)
(scienceqa, train:870, science, chemistry)
(scienceqa, train:872, science, physics)
(scienceqa, train:874, science, physics)
(scienceqa, train:875, culture and education, language and literature)
(scienceqa, train:876, science, physics)
(scienceqa, train:877, science, chemistry)
(scienceqa, train:881, science, geography)
(scienceqa, train:882, science, biology)
(scienceqa, train:883, science, biology)
(scienceqa, train:884, economics, business and finance)
(scienceqa, train:887, science, biology)
(scienceqa, train:889, society, history)
(scienceqa, train:890, science, geography)
(scienceqa, train:892, culture and education, language and literature)
(scienceqa, train:893, science, biology)
(scienceqa, train:894, culture and education, language and literature)
(scienceqa, train:895, science, physics)
(scienceqa, train:897, science, physics)
(scienceqa, train:899, science, physics)
(scienceqa, train:902, science, chemistry)
(scienceqa, train:903, science, chemistry)
(scienceqa, train:906, science, geography)
(scienceqa, train:907, economics, business and finance)
(scienceqa, train:910, science, biology)
(scienceqa, train:915, culture and education, language and literature)
(scienceqa, train:922, culture and education, language and literature)
(scienceqa, train:925, science, chemistry)
(scienceqa, train:928, culture and education, language and literature)
(scienceqa, train:929, science, mathematics)
(scienceqa, train:930, science, biology)
(scienceqa, train:931, science, physics)
(scienceqa, train:933, science, biology)
(scienceqa, train:935, culture and education, language and literature)
(scienceqa, train:937, science, biology)
(scienceqa, train:938, science, geography)
(scienceqa, train:939, science, biology)
(scienceqa, train:942, economics, business and finance)
(scienceqa, train:943, science, biology)
(scienceqa, train:944, science, biology)
(scienceqa, train:946, science, physics)
(scienceqa, train:948, science, geography)
(scienceqa, train:949, science, geography)
(scienceqa, train:950, culture and education, language and literature)
(scienceqa, train:954, science, biology)
(scienceqa, train:955, science, chemistry)
(scienceqa, train:956, science, geography)
(scienceqa, train:959, science, biology)
(scienceqa, train:960, science, geography)
(scienceqa, train:961, science, biology)
(scienceqa, train:965, science, geography)
(scienceqa, train:966, culture and education, language and literature)
(scienceqa, train:968, science, biology)
(scienceqa, train:969, science, geography)
(scienceqa, train:972, science, chemistry)
(scienceqa, train:974, science, biology)
(scienceqa, train:975, science, biology)
(scienceqa, train:976, science, biology)
(scienceqa, train:977, science, biology)
(scienceqa, train:978, science, chemistry)
(scienceqa, train:980, science, biology)
(scienceqa, train:981, science, physics)
(scienceqa, train:983, science, geography)
(scienceqa, train:985, science, geography)
(scienceqa, train:986, culture and education, language and literature)
(scienceqa, train:987, science, physics)
(scienceqa, train:988, science, chemistry)
(scienceqa, train:989, science, physics)
(scienceqa, train:990, society, history)
(scienceqa, train:996, society, geography)
(scienceqa, train:997, culture and education, language and literature)
(scienceqa, train:998, science, physics)
(scienceqa, train:999, science, biology)
(scienceqa, train:1000, culture and education, language and literature)
(scienceqa, train:1001, science, biology)
(scienceqa, train:1003, science, physics)
(scienceqa, train:1006, science, chemistry)
(scienceqa, train:1007, science, physics)
(scienceqa, train:1008, culture and education, language and literature)
(scienceqa, train:1011, science, biology)
(scienceqa, train:1012, science, biology)
(scienceqa, train:1015, science, biology)
(scienceqa, train:1016, culture and education, language and literature)
(scienceqa, train:1017, science, biology)
(scienceqa, train:1018, science, geography)
(scienceqa, train:1019, science, mathematics)
(scienceqa, train:1020, culture and education, language and literature)
(scienceqa, train:1021, science, physics)
(scienceqa, train:1022, science, physics)
(scienceqa, train:1023, science, biology)
(scienceqa, train:1024, science, biology)
(scienceqa, train:1025, science, chemistry)
(scienceqa, train:1026, science, chemistry)
(scienceqa, train:1027, society, geography)
(scienceqa, train:1028, science, biology)
(scienceqa, train:1030, science, biology)
(scienceqa, train:1031, science, biology)
(scienceqa, train:1032, science, geography)
(scienceqa, train:1034, science, chemistry)
(scienceqa, train:1035, science, physics)
(scienceqa, train:1038, society, geography)
(scienceqa, train:1039, science, engineering)
(scienceqa, train:1042, science, geography)
(scienceqa, train:1045, science, chemistry)
(scienceqa, train:1047, science, geography)
(scienceqa, train:1048, science, geography)
(scienceqa, train:1052, science, geography)
(scienceqa, train:1053, science, physics)
(scienceqa, train:1054, culture and education, language and literature)
(scienceqa, train:1055, science, physics)
(scienceqa, train:1058, science, physics)
(scienceqa, train:1060, science, biology)
(scienceqa, train:1061, economics, business and finance)
(scienceqa, train:1062, culture and education, language and literature)
(scienceqa, train:1063, culture and education, language and literature)
(scienceqa, train:1066, science, biology)
(scienceqa, train:1067, science, biology)
(scienceqa, train:1068, science, geography)
(scienceqa, train:1069, science, biology)
(scienceqa, train:1070, science, biology)
(scienceqa, train:1072, science, physics)
(scienceqa, train:1074, science, physics)
(scienceqa, train:1075, society, geography)
(scienceqa, train:1076, culture and education, language and literature)
(scienceqa, train:1078, science, geography)
(scienceqa, train:1080, culture and education, language and literature)
(scienceqa, train:1081, science, geography)
(scienceqa, train:1084, science, physics)
(scienceqa, train:1085, science, biology)
(scienceqa, train:1086, culture and education, language and literature)
(scienceqa, train:1090, culture and education, language and literature)
(scienceqa, train:1091, science, physics)
(scienceqa, train:1092, science, physics)
(scienceqa, train:1094, science, chemistry)
(scienceqa, train:1096, culture and education, language and literature)
(scienceqa, train:1097, society, geography)
(scienceqa, train:1099, culture and education, language and literature)
(scienceqa, train:1101, science, physics)
(scienceqa, train:1104, science, geography)
(scienceqa, train:1105, science, biology)
(scienceqa, train:1106, science, biology)
(scienceqa, train:1107, science, physics)
(scienceqa, train:1108, science, geography)
(scienceqa, train:1109, science, geography)
(scienceqa, train:1111, science, biology)
(scienceqa, train:1112, science, biology)
(scienceqa, train:1115, science, biology)
(scienceqa, train:1116, science, biology)
(scienceqa, train:1117, society, geography)
(scienceqa, train:1118, society, geography)
(scienceqa, train:1119, science, physics)
(scienceqa, train:1120, science, physics)
(scienceqa, train:1121, science, physics)
(scienceqa, train:1122, science, physics)
(scienceqa, train:1125, science, geography)
(scienceqa, train:1126, science, biology)
(scienceqa, train:1127, science, chemistry)
(scienceqa, train:1129, culture and education, language and literature)
(scienceqa, train:1130, science, chemistry)
(scienceqa, train:1132, culture and education, language and literature)
(scienceqa, train:1133, science, geography)
(scienceqa, train:1138, science, geography)
(scienceqa, train:1140, science, geography)
(scienceqa, train:1141, culture and education, language and literature)
(scienceqa, train:1142, culture and education, language and literature)
(scienceqa, train:1143, science, biology)
(scienceqa, train:1144, science, biology)
(scienceqa, train:1146, science, chemistry)
(scienceqa, train:1147, culture and education, language and literature)
(scienceqa, train:1148, society, history)
(scienceqa, train:1150, science, chemistry)
(scienceqa, train:1151, culture and education, language and literature)
(scienceqa, train:1154, science, biology)
(scienceqa, train:1155, culture and education, language and literature)
(scienceqa, train:1156, society, geography)
(scienceqa, train:1157, science, geography)
(scienceqa, train:1158, science, chemistry)
(scienceqa, train:1160, science, chemistry)
(scienceqa, train:1161, culture and education, language and literature)
(scienceqa, train:1163, science, biology)
(scienceqa, train:1164, culture and education, language and literature)
(scienceqa, train:1166, culture and education, language and literature)
(scienceqa, train:1167, society, history)
(scienceqa, train:1168, science, chemistry)
(scienceqa, train:1169, culture and education, language and literature)
(scienceqa, train:1171, science, physics)
(scienceqa, train:1172, culture and education, language and literature)
(scienceqa, train:1173, science, biology)
(scienceqa, train:1175, culture and education, language and literature)
(scienceqa, train:1176, science, chemistry)
(scienceqa, train:1178, science, geography)
(scienceqa, train:1180, science, physics)
(scienceqa, train:1183, science, mathematics)
(scienceqa, train:1184, science, biology)
(scienceqa, train:1185, science, chemistry)
(scienceqa, train:1186, science, biology)
(scienceqa, train:1187, culture and education, language and literature)
(scienceqa, train:1188, science, physics)
(scienceqa, train:1190, culture and education, language and literature)
(scienceqa, train:1192, science, mathematics)
(scienceqa, train:1193, science, physics)
(scienceqa, train:1194, culture and education, language and literature)
(scienceqa, train:1197, science, geography)
(scienceqa, train:1199, society, geography)
(scienceqa, train:1200, science, biology)
(scienceqa, train:1202, science, geography)
(scienceqa, train:1204, science, biology)
(scienceqa, train:1205, science, physics)
(scienceqa, train:1207, culture and education, language and literature)
(scienceqa, train:1209, culture and education, language and literature)
(scienceqa, train:1210, culture and education, language and literature)
(scienceqa, train:1214, science, physics)
(scienceqa, train:1217, society, history)
(scienceqa, train:1218, culture and education, language and literature)
(scienceqa, train:1220, culture and education, language and literature)
(scienceqa, train:1225, science, biology)
(scienceqa, train:1227, science, physics)
(scienceqa, train:1229, science, physics)
(scienceqa, train:1236, science, physics)
(scienceqa, train:1238, science, biology)
(scienceqa, train:1239, science, geography)
(scienceqa, train:1240, science, physics)
(scienceqa, train:1243, science, geography)
(scienceqa, train:1245, culture and education, language and literature)
(scienceqa, train:1248, science, physics)
(scienceqa, train:1249, science, chemistry)
(scienceqa, train:1258, science, biology)
(scienceqa, train:1260, science, physics)
(scienceqa, train:1261, culture and education, language and literature)
(scienceqa, train:1262, science, physics)
(scienceqa, train:1263, science, geography)
(scienceqa, train:1267, science, geography)
(scienceqa, train:1270, culture and education, language and literature)
(scienceqa, train:1272, science, physics)
(scienceqa, train:1273, science, biology)
(scienceqa, train:1275, science, geography)
(scienceqa, train:1276, science, physics)
(scienceqa, train:1278, science, geography)
(scienceqa, train:1279, science, biology)
(scienceqa, train:1285, science, chemistry)
(scienceqa, train:1287, science, geography)
(scienceqa, train:1288, science, physics)
(scienceqa, train:1291, science, physics)
(scienceqa, train:1292, science, chemistry)
(scienceqa, train:1293, science, physics)
(scienceqa, train:1294, science, physics)
(scienceqa, train:1296, culture and education, language and literature)
(scienceqa, train:1297, culture and education, language and literature)
